#bin	chrom	chromStart	chromEnd	name
1741	chr2	151572317	151578054	chr2.39
1744	chr2	152030341	152039664	chr2.40
1995	chr2	184836366	184842482	chr2.41
1996	chr2	184960086	184960760	chr2.42
259	chr2	195689005	195690695	chr2.43
2133	chr2	203005313	203017311	chr2.44
2172	chr2	208061308	208066083	chr2.45
2179	chr2	208943618	208947987	chr2.46
2362	chr2	232936077	232960881	chr2.47
2396	chr2	237464678	237471874	chr2.48
2424	chr2	241091216	241103311	chr2.49
2436	chr2	242675168	242695936	chr2.50
616	chr3	4063576	4076356	chr3.1
623	chr3	5073705	5078825	chr3.2
632	chr3	6196030	6211038	chr3.3
702	chr3	15366898	15373051	chr3.4
708	chr3	16246804	16248562	chr3.5
753	chr3	22058240	22060813	chr3.6
755	chr3	22323148	22338890	chr3.7
815	chr3	30167422	30170791	chr3.8
859	chr3	35949438	35971877	chr3.9
859	chr3	35991437	36030393	chr3.10
117	chr3	46772844	46821696	chr3.11
989	chr3	53008836	53012735	chr3.12
16	chr3	60801472	60878151	chr3.13
1059	chr3	62153778	62157696	chr3.14
1082	chr3	65173579	65187319	chr3.15
1105	chr3	68173501	68175525	chr3.16
1231	chr3	84783402	84784165	chr3.17
1267	chr3	89485552	89499754	chr3.18
1269	chr3	89756519	89758560	chr3.19
1347	chr3	99893739	99894341	chr3.20
1351	chr3	100427216	100430538	chr3.21
1390	chr3	105615012	105630578	chr3.22
1391	chr3	105725082	105740040	chr3.23
1392	chr3	105841684	105870421	chr3.24
21	chr3	105903275	105910971	chr3.25
1393	chr3	105981960	106026615	chr3.26
1394	chr3	106100663	106114293	chr3.27
1395	chr3	106193515	106260648	chr3.28
1471	chr3	116141496	116150586	chr3.29
1555	chr3	127197322	127204194	chr3.30
1586	chr3	131271623	131275786	chr3.31
1589	chr3	131615541	131616310	chr3.32
1601	chr3	133194401	133195707	chr3.33
1603	chr3	133474129	133474674	chr3.34
1641	chr3	138512873	138514443	chr3.35
1684	chr3	144093300	144094347	chr3.36
1732	chr3	150447382	150450025	chr3.37
1758	chr3	153833217	153837015	chr3.38
1780	chr3	156662868	156667744	chr3.39
1807	chr3	160257034	160274980	chr3.40
1833	chr3	163612687	163624579	chr3.41
229	chr3	163700688	163712278	chr3.42
229	chr3	163995377	164105350	chr3.43
1844	chr3	165145085	165146979	chr3.44
1855	chr3	166539047	166547854	chr3.45
1857	chr3	166797069	166802835	chr3.46
1932	chr3	176564661	176566093	chr3.47
1938	chr3	177379272	177412368	chr3.48
1964	chr3	180770973	180772787	chr3.49
2018	chr3	187872253	187878266	chr3.50
2041	chr3	190846788	190850343	chr3.51
2043	chr3	191220048	191222323	chr3.52
2054	chr3	192549938	192552678	chr3.53
2065	chr3	194082030	194092410	chr3.54
2067	chr3	194358067	194366867	chr3.55
2069	chr3	194619170	194621399	chr3.56
659	chr4	9736076	9737244	chr4.1
82	chr4	9827739	9838337	chr4.2
661	chr4	10006425	10009254	chr4.3
676	chr4	11984155	11993045	chr4.4
738	chr4	20171178	20172206	chr4.5
745	chr4	20982144	20984915	chr4.6
828	chr4	31942341	31948796	chr4.7
105	chr4	34456637	34503406	chr4.8
998	chr4	54145932	54178326	chr4.9
1068	chr4	63352170	63357773	chr4.10
1076	chr4	64380379	64392223	chr4.11
17	chr4	69057001	69527281	chr4.12
17	chr4	70166453	70262009	chr4.13
143	chr4	73917930	73977514	chr4.14
1282	chr4	91390813	91416815	chr4.15
1288	chr4	92152587	92153722	chr4.16
1307	chr4	94755427	94756177	chr4.17
1381	chr4	104431580	104432429	chr4.18
1385	chr4	104973072	104980491	chr4.19
1412	chr4	108412189	108426080	chr4.20
1465	chr4	115397691	115401739	chr4.21
1472	chr4	116381423	116391782	chr4.22
1491	chr4	118832602	118837538	chr4.23
1509	chr4	121170654	121172401	chr4.24
1568	chr4	128909386	128923400	chr4.25
1582	chr4	130726507	130737856	chr4.26
1598	chr4	132807132	132814561	chr4.27
1640	chr4	138312344	138317314	chr4.28
1640	chr4	138403113	138405463	chr4.29
1687	chr4	144505133	144515402	chr4.30
1745	chr4	152100215	152103168	chr4.31
1784	chr4	157183142	157187345	chr4.32
1815	chr4	161279324	161291393	chr4.33
1821	chr4	162098516	162104065	chr4.34
1874	chr4	169060171	169073269	chr4.35
234	chr4	169202308	169224618	chr4.36
1881	chr4	169925823	169930654	chr4.37
1906	chr4	173226121	173227547	chr4.38
1949	chr4	178831900	178838152	chr4.39
2030	chr4	189458201	189470288	chr4.40
122	chr5	51896668	51910461	chr5.1
1420	chr5	109452450	109453291	chr5.2
1654	chr5	140208156	140210355	chr5.3
227	chr5	161858183	161884064	chr5.4
642	chr6	7574576	7578276	chr6.1
83	chr6	10579023	10636780	chr6.2
731	chr6	19151529	19155942	chr6.3
796	chr6	27783269	27784773	chr6.4
813	chr6	29965945	29973981	chr6.5
814	chr6	30034576	30037232	chr6.6
824	chr6	31385347	31390440	chr6.7
834	chr6	32639224	32643206	chr6.8
835	chr6	32776417	32780000	chr6.9
844	chr6	34046274	34050206	chr6.10
1002	chr6	54759315	54768204	chr6.11
1173	chr6	77076267	77078698	chr6.12
148	chr6	79029920	79039487	chr6.13
1188	chr6	79056617	79089088	chr6.14
1205	chr6	81341226	81341992	chr6.15
1299	chr6	93632502	93635080	chr6.16
1377	chr6	103845442	103868154	chr6.17
214	chr6	147977712	147984614	chr6.18
1716	chr6	148308446	148313524	chr6.19
586	chr7	246846	249228	chr7.1
610	chr7	3359052	3393540	chr7.2
640	chr7	7317208	7321640	chr7.3
684	chr7	13070959	13078848	chr7.4
877	chr7	38320525	38337999	chr7.5
1056	chr7	61789417	61797361	chr7.6
1165	chr7	76112820	76123056	chr7.7
1165	chr7	76139270	76149356	chr7.8
1185	chr7	78665442	78670994	chr7.9
1268	chr7	89648463	89650234	chr7.10
19	chr7	91213574	91226772	chr7.11
1289	chr7	92318773	92335363	chr7.12
1295	chr7	93165415	93168493	chr7.13
1326	chr7	97234645	97238934	chr7.14
1381	chr7	104420216	104428477	chr7.15
1418	chr7	109229030	109238466	chr7.16
177	chr7	109962080	109972467	chr7.17
1429	chr7	110625334	110668954	chr7.18
1467	chr7	115724917	115727149	chr7.19
1484	chr7	117849640	117860081	chr7.20
1492	chr7	118942357	118943363	chr7.21
1503	chr7	120343856	120346774	chr7.22
1534	chr7	124445291	124445836	chr7.23
1545	chr7	125833801	125836509	chr7.24
1603	chr7	133436439	133446804	chr7.25
207	chr7	141419097	141439888	chr7.26
1666	chr7	141695729	141711704	chr7.27
1667	chr7	141896503	141908580	chr7.28
1668	chr7	141969773	142004315	chr7.29
1669	chr7	142160877	142170663	chr7.30
1728	chr7	149864974	149870219	chr7.31
1791	chr7	158130947	158133036	chr7.32
589	chr8	587487	588391	chr8.1
600	chr8	2066222	2067696	chr8.2
602	chr8	2242110	2250519	chr8.3
615	chr8	3987468	3992429	chr8.4
615	chr8	4039867	4040487	chr8.5
616	chr8	4150121	4158194	chr8.6
616	chr8	4173158	4183588	chr8.7
619	chr8	4576576	4586136	chr8.8
620	chr8	4619513	4691949	chr8.9
620	chr8	4708927	4717662	chr8.10
623	chr8	5065307	5076194	chr8.11
625	chr8	5340694	5350447	chr8.12
627	chr8	5587999	5590045	chr8.13
628	chr8	5638409	5641012	chr8.14
631	chr8	6052575	6056851	chr8.15
631	chr8	6108358	6147262	chr8.16
636	chr8	6810705	6811452	chr8.17
639	chr8	7201387	7206953	chr8.18
644	chr8	7814659	7824363	chr8.19
657	chr8	9537015	9537654	chr8.20
678	chr8	12276030	12291924	chr8.21
681	chr8	12590009	12599114	chr8.22
689	chr8	13659506	13693201	chr8.23
696	chr8	14624539	14630697	chr8.24
87	chr8	14681135	15426553	chr8.25
704	chr8	15656974	15704929	chr8.26
708	chr8	16245929	16250731	chr8.27
709	chr8	16311380	16314838	chr8.28
92	chr8	20037382	20067451	chr8.29
96	chr8	25030376	25045471	chr8.30
779	chr8	25467962	25470607	chr8.31
876	chr8	38227290	38229372	chr8.32
110	chr8	39351896	39506336	chr8.33
892	chr8	40303569	40308706	chr8.34
899	chr8	41226502	41227279	chr8.35
975	chr8	51194778	51196571	chr8.36
999	chr8	54315535	54323911	chr8.37
1008	chr8	55527137	55536440	chr8.38
1025	chr8	57781260	57791776	chr8.39
1031	chr8	58526557	58527676	chr8.40
1038	chr8	59468387	59481002	chr8.41
1051	chr8	61164061	61168404	chr8.42
1081	chr8	65012004	65013235	chr8.43
1083	chr8	65278431	65280359	chr8.44
1104	chr8	68152555	68155980	chr8.45
1127	chr8	71109832	71123983	chr8.46
143	chr8	73786197	73798508	chr8.47
1214	chr8	82542508	82543678	chr8.48
1236	chr8	85423712	85428552	chr8.49
1274	chr8	90399970	90406126	chr8.50
1281	chr8	91252950	91255894	chr8.51
1300	chr8	93767166	93775734	chr8.52
1314	chr8	95627870	95640619	chr8.53
1361	chr8	101727812	101728344	chr8.54
1371	chr8	103123275	103124395	chr8.55
1402	chr8	107157602	107159676	chr8.56
1408	chr8	107930039	107931173	chr8.57
1464	chr8	115238845	115243377	chr8.58
1467	chr8	115704458	115711671	chr8.59
1515	chr8	121941910	121942526	chr8.60
1524	chr8	123139715	123146817	chr8.61
1637	chr8	137909582	137920941	chr8.62
1668	chr8	142072079	142073375	chr8.63
586	chr9	205917	238749	chr9.1
589	chr9	581040	598622	chr9.2
590	chr9	665600	685607	chr9.3
596	chr9	1500299	1516383	chr9.4
615	chr9	4006814	4009224	chr9.5
623	chr9	5102519	5103577	chr9.6
659	chr9	9791153	9794313	chr9.7
665	chr9	10536814	10572586	chr9.8
675	chr9	11881381	11883047	chr9.9
84	chr9	11903287	11978036	chr9.10
746	chr9	21180827	21189680	chr9.11
747	chr9	21275389	21296318	chr9.12
766	chr9	23759754	23765449	chr9.13
771	chr9	24457698	24484302	chr9.14
813	chr9	29914682	29976250	chr9.15
836	chr9	32991449	33014917	chr9.16
866	chr9	36872141	36890817	chr9.17
878	chr9	38509912	38524245	chr9.18
932	chr9	45502893	45528568	chr9.19
1090	chr9	66196490	66221498	chr9.20
1128	chr9	71296449	71298897	chr9.21
154	chr9	85678406	85732026	chr9.22
1297	chr9	93435880	93440579	chr9.23
1377	chr9	103893268	103903617	chr9.24
1396	chr9	106405791	106406292	chr9.25
1447	chr9	113100532	113105107	chr9.26
1565	chr9	128560616	128562129	chr9.27
200	chr9	133372494	133438117	chr9.28
25	chr9	137361468	137365450	chr9.29
1653	chr9	140092954	140098397	chr9.30
1654	chr9	140123767	140131402	chr9.31
617	chrX	4248504	4256678	chrX.1
629	chrX	5774199	5793856	chrX.2
80	chrX	7359520	7527325	chrX.3
647	chrX	8132307	8138688	chrX.4
676	chrX	11930107	11958570	chrX.5
88	chrX	16383400	16388111	chrX.6
88	chrX	16513272	16520443	chrX.7
798	chrX	27952599	27961411	chrX.8
832	chrX	32465726	32471331	chrX.9
844	chrX	34030808	34031543	chrX.10
946	chrX	47371502	47373937	chrX.11
118	chrX	47768260	47867395	chrX.12
1019	chrX	56968188	56972761	chrX.13
1029	chrX	58212008	58216971	chrX.14
1031	chrX	58480199	58499972	chrX.15
16	chrX	63924546	63972044	chrX.16
136	chrX	66155070	66580944	chrX.17
1165	chrX	76046402	76060798	chrX.18
1187	chrX	78989702	78990685	chrX.19
1205	chrX	81282996	81298625	chrX.20
1234	chrX	85073796	85086785	chrX.21
1235	chrX	85212168	85218969	chrX.22
158	chrX	89783994	89795187	chrX.23
1278	chrX	90858112	90864984	chrX.24
1288	chrX	92200804	92224565	chrX.25
1296	chrX	93288229	93290555	chrX.26
165	chrX	96857781	96872057	chrX.27
176	chrX	108781903	108860497	chrX.28
1420	chrX	109521873	109526711	chrX.29
1422	chrX	109825861	109827815	chrX.30
1439	chrX	112051278	112052072	chrX.31
1466	chrX	115503140	115503807	chrX.32
1502	chrX	120232888	120238451	chrX.33
1522	chrX	122933472	122934178	chrX.34
1663	chrX	141299272	141300961	chrX.35
1698	chrX	145987801	145990333	chrX.36
1703	chrX	146654201	146655619	chrX.37
1715	chrX	148203547	148204343	chrX.38
1717	chrX	148453178	148458212	chrX.39
1763	chrX	154427857	154430758	chrX.40
636	chr10	6695312	6702141	chr10.1
670	chr10	11144870	11148911	chr10.2
740	chr10	20344631	20359198	chr10.3
744	chr10	20891214	20895478	chr10.4
803	chr10	28607813	28609965	chr10.5
873	chr10	37857888	37858922	chr10.6
112	chr10	41676549	41685682	chr10.7
938	chr10	46363384	46378622	chr10.8
939	chr10	46412363	46414186	chr10.9
944	chr10	47148027	47167032	chr10.10
125	chr10	55048674	55124158	chr10.11
1028	chr10	58186930	58195193	chr10.12
1033	chr10	58761341	58769683	chr10.13
1089	chr10	66106212	66107646	chr10.14
1096	chr10	66980424	66983475	chr10.15
1406	chr10	107658473	107670279	chr10.16
1518	chr10	122385300	122392390	chr10.17
622	chr11	4932653	4933344	chr11.1
777	chr11	25248415	25250805	chr11.2
120	chr11	49805757	49811283	chr11.3
1005	chr11	55128383	55130279	chr11.4
1412	chr11	108425691	108426533	chr11.5
601	chr12	2117440	2125588	chr12.1
615	chr12	3957146	3958803	chr12.2
631	chr12	6113877	6116707	chr12.3
83	chr12	11375250	11435555	chr12.4
676	chr12	12031052	12037271	chr12.5
725	chr12	18456330	18458285	chr12.6
745	chr12	21034215	21035483	chr12.7
753	chr12	22086469	22099211	chr12.8
753	chr12	22139915	22142636	chr12.9
795	chr12	27532740	27533809	chr12.10
795	chr12	27539977	27545038	chr12.11
814	chr12	30128618	30132410	chr12.12
832	chr12	32414722	32422479	chr12.13
841	chr12	33609514	33612689	chr12.14
841	chr12	33617670	33626050	chr12.15
862	chr12	36397599	36433840	chr12.16
883	chr12	39104527	39106948	chr12.17
883	chr12	39168293	39169671	chr12.18
943	chr12	47011045	47020876	chr12.19
946	chr12	47345081	47357512	chr12.20
972	chr12	50791226	50819085	chr12.21
124	chr12	54001143	54011957	chr12.22
1006	chr12	55300111	55301400	chr12.23
1009	chr12	55606077	55610763	chr12.24
1023	chr12	57502971	57518064	chr12.25
1029	chr12	58222193	58230898	chr12.26
1063	chr12	62688136	62690201	chr12.27
133	chr12	63304111	63323750	chr12.28
1112	chr12	69160993	69163283	chr12.29
1169	chr12	76566591	76591472	chr12.30
1187	chr12	78961464	78962049	chr12.31
1206	chr12	81480762	81492429	chr12.32
1215	chr12	82684646	82691614	chr12.33
1243	chr12	86286495	86297162	chr12.34
1264	chr12	89014390	89015075	chr12.35
1289	chr12	92385303	92387120	chr12.36
1304	chr12	94323489	94333257	chr12.37
1320	chr12	96401144	96412948	chr12.38
1321	chr12	96538876	96555110	chr12.39
1326	chr12	97194992	97195652	chr12.40
1335	chr12	98319623	98326639	chr12.41
1348	chr12	100048107	100056215	chr12.42
1403	chr12	107318835	107332847	chr12.43
1423	chr12	109867419	109876182	chr12.44
1436	chr12	111640806	111657945	chr12.45
1484	chr12	117920136	117925595	chr12.46
1536	chr12	124772720	124773911	chr12.47
1547	chr12	126160067	126164235	chr12.48
1556	chr12	127363955	127372572	chr12.49
1574	chr12	129713954	129716063	chr12.50
1579	chr12	130296270	130341671	chr12.51
1580	chr12	130466076	130512460	chr12.52
1582	chr12	130696856	130701708	chr12.53
1592	chr12	132094717	132109400	chr12.54
732	chr13	19361867	19368071	chr13.1
837	chr13	33039635	33041447	chr13.2
880	chr13	38766773	38768592	chr13.3
945	chr13	47227772	47228419	chr13.4
1017	chr13	56653475	56654503	chr13.5
1017	chr13	56659471	56665094	chr13.6
1091	chr13	66410969	66418345	chr13.7
1104	chr13	68150839	68155761	chr13.8
1190	chr13	79377405	79401111	chr13.9
1324	chr13	96975940	96976926	chr13.10
1453	chr13	113851980	113853018	chr13.11
845	chr14	34187519	34189727	chr14.1
874	chr14	37999805	38008024	chr14.2
1112	chr14	69089943	69091315	chr14.3
1160	chr14	75417994	75430186	chr14.4
1388	chr14	105314416	105374891	chr14.5
21	chr14	105585123	106064990	chr14.6
728	chr15	18844049	18848719	chr15.1
754	chr15	22228836	22265725	chr15.2
775	chr15	24992741	25000416	chr15.3
833	chr15	32509102	32596273	chr15.4
1001	chr15	54579728	54582930	chr15.5
699	chr17	14984724	14999250	chr17.1
822	chr17	31064899	31067497	chr17.2
865	chr17	36773527	36778704	chr17.3
599	chr18	1907900	1922838	chr18.1
614	chr18	3815114	3820892	chr18.2
757	chr18	22620486	22621971	chr18.3
793	chr18	27287138	27288302	chr18.4
807	chr18	29106117	29116515	chr18.5
103	chr18	32373426	32438195	chr18.6
833	chr18	32509114	32510666	chr18.7
834	chr18	32655158	32679797	chr18.8
861	chr18	36241530	36249382	chr18.9
863	chr18	36514524	36520198	chr18.10
866	chr18	36928405	36932801	chr18.11
925	chr18	44634522	44638410	chr18.12
931	chr18	45356000	45371907	chr18.13
937	chr18	46254963	46259069	chr18.14
964	chr18	49791725	49798777	chr18.15
976	chr18	51291248	51296309	chr18.16
1012	chr18	56072413	56074460	chr18.17
1053	chr18	61352438	61356682	chr18.18
1057	chr18	61880067	61881930	chr18.19
134	chr18	64173660	64272543	chr18.20
1076	chr18	64446648	64452096	chr18.21
1080	chr18	64897188	64906488	chr18.22
1112	chr18	69102094	69105459	chr18.23
1152	chr18	74394310	74397540	chr18.24
1156	chr18	74911018	74925033	chr18.25
936	chr19	46046373	46065873	chr19.1
589	chr20	634314	638325	chr20.1
596	chr20	1517704	1520374	chr20.2
633	chr20	6370001	6370570	chr20.3
697	chr20	14742361	14771472	chr20.4
711	chr20	16515202	16533314	chr20.5
888	chr20	39790436	39794267	chr20.6
117	chr20	46386093	46412796	chr20.7
661	chr21	9978594	10033019	chr21.1
687	chr21	13483810	13497625	chr21.2
688	chr21	13588035	13603210	chr21.3
690	chr21	13817281	13833806	chr21.4
691	chr21	14003728	14020041	chr21.5
763	chr21	23345578	23354462	chr21.6
771	chr21	24477775	24500652	chr21.7
791	chr21	27117916	27122320	chr21.8
835	chr21	32879705	32880218	chr21.9
845	chr21	34190206	34191637	chr21.10
847	chr21	34402201	34403293	chr21.11
710	chr22	16396508	16398604	chr22.1
723	chr22	18152179	18175586	chr22.2
735	chr22	19788804	19791274	chr22.3
743	chr22	20711045	20715006	chr22.4
743	chr22	20716434	20724227	chr22.5
743	chr22	20756901	20776575	chr22.6
743	chr22	20784580	20813912	chr22.7
743	chr22	20819908	20831833	chr22.8
743	chr22	20835322	20836340	chr22.9
744	chr22	20847205	20863579	chr22.10
744	chr22	20866498	20886662	chr22.11
745	chr22	21024486	21032291	chr22.12
93	chr22	21032390	21564096	chr22.13
754	chr22	22275369	22277352	chr22.14
758	chr22	22706833	22706929	chr22.15
768	chr22	24082783	24092010	chr22.16
769	chr22	24128632	24136949	chr22.17
769	chr22	24235668	24238616	chr22.18
800	chr22	28198855	28214567	chr22.19
841	chr22	33626455	33627998	chr22.20
872	chr22	37702373	37711772	chr22.21
912	chr22	42970034	42984219	chr22.22
951	chr22	48032315	48033890	chr22.23
